Feature,Importance
likeCount,0.4509947
engagement,0.1979584
has_number_in_title,0.024714509
upload_day_Sunday,0.0226196
has_keyword,0.022403015
commentCount,0.022381969
has_question_mark,0.02167983
duration_seconds,0.021409398
title_length,0.020493727
like_comment_ratio,0.020355584
upload_day_Wednesday,0.020042602
hour_sin,0.019611048
hour_cos,0.019229183
title_word_count,0.017808957
upload_day_Thursday,0.017607411
upload_day_Friday,0.017353771
is_weekend,0.016720911
upload_day_Monday,0.016548982
upload_day_Saturday,0.015309756
upload_day_Tuesday,0.014756553
