agency,channel_id,video_id
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,GzWzo0AXmTg
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,V0oo_Nybo6w
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,glb4RtTwL40
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,aB1yRz0HhdY
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,tTs799cmxBc
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,nrVnsO_rdew
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,Pn9lZtMXFxQ
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,QFOVIAxEFng
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,qRVoblm2Nxw
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,IakRgsTYUDY
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,X0398ExPsK8
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,cqvpXwHTztY
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,FV4Q9DryTG8
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,ffcV3jCwwPk
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,YSgLjktLfrQ
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,iYmvCUonukw
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,PlXrHQVrvmw
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,uNuhG3kS7so
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,F4rldqgCaHE
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,WdQiPJ6KmRc
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,pRBx5t3Hi8s
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,nmBbcNTUkOg
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,LTGnv08tpZ8
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,oiOsmOTCbFE
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,Jg6ua4104IA
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,_ga47xnD5Bc
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,RGG5hfoKEuw
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,5N92gFwvD_s
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,OIAduLEqvTc
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,gWhAbWnm_oM
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,IWPMM2-xt6w
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,A55SUq2eDXg
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,6tyr0ld2ZB4
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,k4RaWqobggI
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,OXm8uc5OB70
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,1AHUqn0X4Hs
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,G_4TUFQytQo
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,NWzZ-8z8fME
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,9M4JWcKEdL0
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,9mq_lb_SmKE
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,vNRrfamTT4k
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,lH9BiTu4bAY
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,SFvHUa4_VOU
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,frX3-5xuGQs
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,L4xu4OZ_KHI
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,E-gzwILmPig
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,zhNX543aYQA
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,xNbNen3p0Qs
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,AtuFHjmwIsA
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,0XZGhnTCl88
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,cf5HfytY71w
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,Fyso-geJT6o
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,I6kcpC5USL8
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,FKsghZt8bLs
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,6nXqUGNF4QY
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,qk1JnExKcoo
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,yDWiC3HMUHk
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,9Q-u6hqCu-Q
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,EqT3nDbwETc
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,mYNE36hWNIQ
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,Gn6qR__BbYg
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,7EP0qaBo-tc
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,UAQjknW5y9Y
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,ihEtpPQCADQ
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,206O9S9GLbg
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,O5KhZbe_mS0
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,k0ILMhbWHNQ
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,U-k_LyA1DQQ
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,fZXBSV6B37I
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,waTmU9hyOqo
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,rsczqMDrBfc
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,zM_0aXxGN6g
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,MhARw9Z8aZI
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,fmm5wq53j-g
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,BkUmeVlocCU
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,klnj272VIJM
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,gs1ic-neuWc
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,1dmcRo4wp6E
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,Rbymsx1N35k
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,7eCWkePf9sk
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,_4TT_1e6rkM
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,uSMGENDH_QI
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,Kk1vR7BdTno
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,EU8dbEH25ak
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,_hFKxXG_SrY
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,r0bbq-soSfI
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,z_qpt3eYn0c
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,_MwmAwTQurs
NASA,UCLA_DiR1FfKNvjuUpBHmylQ,EJXTZ5jpSmk
