video_id,snapshot_time_utc,viewCount,likeCount,commentCount
tTs799cmxBc,2026-01-20T11:37:45.466150+00:00,116793,2849.0,
nrVnsO_rdew,2026-01-20T11:37:45.466150+00:00,785534,19650.0,
Pn9lZtMXFxQ,2026-01-20T11:37:45.466150+00:00,149906,2604.0,
QFOVIAxEFng,2026-01-20T11:37:45.466150+00:00,30838,601.0,
qRVoblm2Nxw,2026-01-20T11:37:45.466150+00:00,205609,4755.0,
IakRgsTYUDY,2026-01-20T11:37:45.466150+00:00,109457,2183.0,
X0398ExPsK8,2026-01-20T11:37:45.466150+00:00,113484,2029.0,
cqvpXwHTztY,2026-01-20T11:37:45.466150+00:00,138880,1234.0,
FV4Q9DryTG8,2026-01-20T11:37:45.466150+00:00,84401,1163.0,
ffcV3jCwwPk,2026-01-20T11:37:45.466150+00:00,62193,1579.0,
YSgLjktLfrQ,2026-01-20T11:37:45.466150+00:00,32242,1045.0,
iYmvCUonukw,2026-01-20T11:37:45.466150+00:00,2572322,10698.0,
PlXrHQVrvmw,2026-01-20T11:37:45.466150+00:00,214102,2985.0,
uNuhG3kS7so,2026-01-20T11:37:45.466150+00:00,222042,2993.0,
F4rldqgCaHE,2026-01-20T11:37:45.466150+00:00,52886,2982.0,
WdQiPJ6KmRc,2026-01-20T11:37:45.466150+00:00,98109,3396.0,
pRBx5t3Hi8s,2026-01-20T11:37:45.466150+00:00,29274,933.0,
nmBbcNTUkOg,2026-01-20T11:37:45.466150+00:00,289814,8887.0,
LTGnv08tpZ8,2026-01-20T11:37:45.466150+00:00,24042,976.0,
oiOsmOTCbFE,2026-01-20T11:37:45.466150+00:00,63145,1537.0,
Jg6ua4104IA,2026-01-20T11:37:45.466150+00:00,99660,1275.0,
_ga47xnD5Bc,2026-01-20T11:37:45.466150+00:00,23863,1016.0,
RGG5hfoKEuw,2026-01-20T11:37:45.466150+00:00,45983,1198.0,
5N92gFwvD_s,2026-01-20T11:37:45.466150+00:00,103276,1361.0,
OIAduLEqvTc,2026-01-20T11:37:45.466150+00:00,40616,1339.0,
gWhAbWnm_oM,2026-01-20T11:37:45.466150+00:00,84773,2431.0,
IWPMM2-xt6w,2026-01-20T11:37:45.466150+00:00,47305,2390.0,
A55SUq2eDXg,2026-01-20T11:37:45.466150+00:00,770927,15534.0,
6tyr0ld2ZB4,2026-01-20T11:37:45.466150+00:00,82330,2998.0,
k4RaWqobggI,2026-01-20T11:37:45.466150+00:00,62870,520.0,
OXm8uc5OB70,2026-01-20T11:37:45.466150+00:00,98284,2753.0,
1AHUqn0X4Hs,2026-01-20T11:37:45.466150+00:00,77034,2341.0,
G_4TUFQytQo,2026-01-20T11:37:45.466150+00:00,64752,2243.0,
NWzZ-8z8fME,2026-01-20T11:37:45.466150+00:00,85089,2668.0,
9M4JWcKEdL0,2026-01-20T11:37:45.466150+00:00,145323,4483.0,
9mq_lb_SmKE,2026-01-20T11:37:45.466150+00:00,66428,2101.0,
vNRrfamTT4k,2026-01-20T11:37:45.466150+00:00,68091,1808.0,
lH9BiTu4bAY,2026-01-20T11:37:45.466150+00:00,31634,1178.0,
SFvHUa4_VOU,2026-01-20T11:37:45.466150+00:00,68881,2025.0,
frX3-5xuGQs,2026-01-20T11:37:45.466150+00:00,62296,2102.0,
L4xu4OZ_KHI,2026-01-20T11:37:45.466150+00:00,34213,741.0,
E-gzwILmPig,2026-01-20T11:37:45.466150+00:00,18968,803.0,
zhNX543aYQA,2026-01-20T11:37:45.466150+00:00,29484,867.0,
xNbNen3p0Qs,2026-01-20T11:37:45.466150+00:00,39885,1366.0,
AtuFHjmwIsA,2026-01-20T11:37:45.466150+00:00,138788,2057.0,
