agency,channel_handle,channel_url,channel_id
CDC,@CDCgov,https://www.youtube.com/@CDCgov,
NASA,@NASA,https://www.youtube.com/@NASA,UCLA_DiR1FfKNvjuUpBHmylQ
WhiteHouse,@WhiteHouse,https://www.youtube.com/@WhiteHouse,UCYxRlFDqcWM4y7FfpiAN3KQ
FEMA,@fema,https://www.youtube.com/@fema,UCVrYey5SZMid_VZk9D8tYmA
NIH,@NIH,https://www.youtube.com/@NIH,UCcTKzTCQAhW4mpGPyO70mWg
NOAA,@NOAA,https://www.youtube.com/@NOAA,UCe9IxQeBttZIYl5c43ycf9g
USGS,@USGS,https://www.youtube.com/@USGS,UCeXH8GZyV3sVqAr45AvupOA
EPA,@EPA,https://www.youtube.com/@EPA,UCitNQQrnnCl19ECgToik0RQ
NPS,@NatlParkService,https://www.youtube.com/@NatlParkService,
DOT,@USDOT,https://www.youtube.com/@USDOT,UCLmK70CmEA52OC9zdswUz5A
DOD,@DeptofDefense,https://www.youtube.com/@DeptofDefense,
USCIS,@USCIS,https://www.youtube.com/@USCIS,UChm7CIhH8gLOH3YTP6HM0Hg
Treasury,@USTreasury,https://www.youtube.com/@USTreasury,
FDA,@US_FDA,https://www.youtube.com/@US_FDA,UC_giJ3xlEL9jUF1YfJdzzuQ
IRS,@IRSvideos,https://www.youtube.com/@IRSvideos,UCcWZOFh3l-1LC7UvhdCXxQg
