video_id,snapshot_time_utc,publishedAt,channelId,title,categoryId,viewCount,likeCount,commentCount
GzWzo0AXmTg,2026-01-24T03:15:56.686784+00:00,2026-01-22T14:02:15Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA’s Day of Remembrance 2026,28,34518,1225,
V0oo_Nybo6w,2026-01-24T03:15:56.686784+00:00,2026-01-21T23:34:25Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA Artemis II: Counting Down to Our Next Moon Mission,28,194367,3236,
glb4RtTwL40,2026-01-24T03:15:56.686784+00:00,2026-01-21T20:06:48Z,UCLA_DiR1FfKNvjuUpBHmylQ,"NASA's SpaceX Crew-11 Post-Flight News Conference (Jan. 21, 2026)",28,55794,1125,
aB1yRz0HhdY,2026-01-24T03:15:56.686784+00:00,2026-01-20T19:41:30Z,UCLA_DiR1FfKNvjuUpBHmylQ,Live High-Definition Views from the International Space Station (Official NASA Stream),28,98484,2651,
tTs799cmxBc,2026-01-24T03:15:56.686784+00:00,2026-01-17T14:44:16Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA's Artemis II Crew Rollout Media Event,28,123581,2942,
nrVnsO_rdew,2026-01-24T03:15:56.686784+00:00,2026-01-16T19:36:39Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA's Artemis II Live Views from Kennedy Space Center,28,1165869,30871,
Pn9lZtMXFxQ,2026-01-24T03:15:56.686784+00:00,2026-01-16T17:59:48Z,UCLA_DiR1FfKNvjuUpBHmylQ,"NASA’s Artemis II Rollout and Mission Overview News Conference (Jan. 16, 2026)",28,152062,2689,
QFOVIAxEFng,2026-01-24T03:15:56.686784+00:00,2026-01-15T11:21:26Z,UCLA_DiR1FfKNvjuUpBHmylQ,"NASA's SpaceX Crew-11 Post-Splashdown News Conference (Jan. 15, 2026)",28,31588,610,
qRVoblm2Nxw,2026-01-24T03:15:56.686784+00:00,2026-01-15T09:45:47Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA's SpaceX Crew-11 Re-Entry and Splashdown,28,209170,4792,
IakRgsTYUDY,2026-01-24T03:15:56.686784+00:00,2026-01-14T22:45:51Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA's SpaceX Crew-11 Undocking,28,110211,2189,
X0398ExPsK8,2026-01-24T03:15:56.686784+00:00,2026-01-14T20:54:00Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA’s SpaceX Crew-11 Hatch Close,28,114354,2039,
cqvpXwHTztY,2026-01-24T03:15:56.686784+00:00,2026-01-12T19:52:30Z,UCLA_DiR1FfKNvjuUpBHmylQ,International Space Station Change of Command Ceremony,28,139309,1244,
FV4Q9DryTG8,2026-01-24T03:15:56.686784+00:00,2026-01-12T15:22:48Z,UCLA_DiR1FfKNvjuUpBHmylQ,Live Video from the International Space Station (Official NASA Stream),28,111256,1397,
ffcV3jCwwPk,2026-01-24T03:15:56.686784+00:00,2026-01-08T22:47:32Z,UCLA_DiR1FfKNvjuUpBHmylQ,"International Space Station Update: Thursday, Jan. 8, 2026",28,63320,1580,
YSgLjktLfrQ,2026-01-24T03:15:56.686784+00:00,2026-01-06T19:47:15Z,UCLA_DiR1FfKNvjuUpBHmylQ,"U.S. Spacewalk Preview News Conference (Jan. 6, 2026)",28,32538,1048,
iYmvCUonukw,2026-01-24T03:15:56.686784+00:00,2026-01-04T05:20:37Z,UCLA_DiR1FfKNvjuUpBHmylQ,Live Video from the International Space Station (Official NASA Stream),28,2575157,10702,
PlXrHQVrvmw,2026-01-24T03:15:56.686784+00:00,2025-12-31T15:00:54Z,UCLA_DiR1FfKNvjuUpBHmylQ,X-59 Team Reflects on Completing First Flight,28,218013,3056,
uNuhG3kS7so,2026-01-24T03:15:56.686784+00:00,2025-12-30T16:01:06Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA: 2025 Review and 2026 Preview,28,224545,3039,
F4rldqgCaHE,2026-01-24T03:15:56.686784+00:00,2025-12-22T17:56:46Z,UCLA_DiR1FfKNvjuUpBHmylQ,Space Station Astronauts Offer 2025 Holiday Greetings,28,53889,2999,
WdQiPJ6KmRc,2026-01-24T03:15:56.686784+00:00,2025-12-19T23:32:50Z,UCLA_DiR1FfKNvjuUpBHmylQ,"Agencywide Town Hall with NASA Administrator Jared Isaacman, Friday, Dec. 19, 2025",28,98630,3407,
pRBx5t3Hi8s,2026-01-24T03:15:56.686784+00:00,2025-12-19T21:01:39Z,UCLA_DiR1FfKNvjuUpBHmylQ,"NASA Astronaut Jonny Kim Post-Flight News Conference (Dec. 19, 2025)",28,29457,935,
nmBbcNTUkOg,2026-01-24T03:15:56.686784+00:00,2025-12-17T16:36:06Z,UCLA_DiR1FfKNvjuUpBHmylQ,Step Inside the International Space Station (POV Tour),28,299161,9018,
LTGnv08tpZ8,2026-01-24T03:15:56.686784+00:00,2025-12-10T21:03:12Z,UCLA_DiR1FfKNvjuUpBHmylQ,"Inside NASA's Prep for the Moon, Mars, and the Search for Life",28,24119,976,
oiOsmOTCbFE,2026-01-24T03:15:56.686784+00:00,2025-12-09T06:00:24Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA Astronaut Jonny Kim Soyuz MS-27 Re-entry and Landing,28,63280,1540,
Jg6ua4104IA,2026-01-24T03:15:56.686784+00:00,2025-12-09T02:16:01Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA Astronaut Jonny Kim Soyuz MS-27 Undocking,28,99710,1278,
_ga47xnD5Bc,2026-01-24T03:15:56.686784+00:00,2025-12-08T22:57:51Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA Astronaut Jonny Kim Soyuz MS-27 Space Station Farewells and Hatch Closing,28,23920,1019,
RGG5hfoKEuw,2026-01-24T03:15:56.686784+00:00,2025-12-07T15:47:21Z,UCLA_DiR1FfKNvjuUpBHmylQ,Expedition 73/74 Change of Command Ceremony,28,46033,1199,
5N92gFwvD_s,2026-01-24T03:15:56.686784+00:00,2025-11-27T15:39:00Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA Astronaut Chris Williams Soyuz MS-28 Hatch Opening,28,103321,1362,
OIAduLEqvTc,2026-01-24T03:15:56.686784+00:00,2025-11-27T12:46:00Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA Astronaut Chris Williams Soyuz MS-28 Docking,28,40688,1340,
gWhAbWnm_oM,2026-01-24T03:15:56.686784+00:00,2025-11-27T09:49:14Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA Astronaut Chris Williams Soyuz MS-28 Launch,28,85048,2435,
IWPMM2-xt6w,2026-01-24T03:15:56.686784+00:00,2025-11-25T20:00:46Z,UCLA_DiR1FfKNvjuUpBHmylQ,Space Station Astronauts Deliver a Thanksgiving Message for 2025,28,47637,2393,
A55SUq2eDXg,2026-01-24T03:15:56.686784+00:00,2025-11-19T21:02:57Z,UCLA_DiR1FfKNvjuUpBHmylQ,NASA Shares Interstellar Comet 3I/ATLAS Images,28,772798,15549,
6tyr0ld2ZB4,2026-01-24T03:15:56.686784+00:00,2025-11-17T06:32:41Z,UCLA_DiR1FfKNvjuUpBHmylQ,Sentinel-6B Launch,28,82412,2996,
k4RaWqobggI,2026-01-24T03:15:56.686784+00:00,2025-11-14T22:54:25Z,UCLA_DiR1FfKNvjuUpBHmylQ,Sentinel-6B: Extending the Legacy (NASA Mission Trailer),28,63004,522,
OXm8uc5OB70,2026-01-24T03:15:56.686784+00:00,2025-10-29T16:14:24Z,UCLA_DiR1FfKNvjuUpBHmylQ,JAXA HTV-X1 Cargo Rendezvous and Capture,28,98348,2753,
1AHUqn0X4Hs,2026-01-24T03:15:56.686784+00:00,2025-10-28T21:43:21Z,UCLA_DiR1FfKNvjuUpBHmylQ,Roscosmos Spacewalk 65,28,77218,2344,
G_4TUFQytQo,2026-01-24T03:15:56.686784+00:00,2025-10-26T00:26:46Z,UCLA_DiR1FfKNvjuUpBHmylQ,JAXA HTV-X1 Cargo Launch,28,64817,2242,
NWzZ-8z8fME,2026-01-24T03:15:56.686784+00:00,2025-10-16T23:51:34Z,UCLA_DiR1FfKNvjuUpBHmylQ,Roscosmos Spacewalk 64,28,85193,2668,
9M4JWcKEdL0,2026-01-24T03:15:56.686784+00:00,2025-09-24T15:46:24Z,UCLA_DiR1FfKNvjuUpBHmylQ,Three Space Weather Missions Lift Off,28,151003,4670,
9mq_lb_SmKE,2026-01-24T03:15:56.686784+00:00,2025-09-24T15:07:15Z,UCLA_DiR1FfKNvjuUpBHmylQ,"Artemis II Crew News Conference (Sept. 24, 2025)",28,66714,2103,
